11.02.2026         Salida dinámica de lista                                                              1


		Objeto	Denominación del objeto	Creado	Registrado	  Valor/Mon.tr.	MonT
		LCP-190000	CAP-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	        100,32	USD
		LCP-190000	CAP-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	        100,55	USD
		LCP-190000	CAP-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	      2.025,78	USD
		LCP-190000	CAP-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	        100,60	USD
		LCP-190000	CAP-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	      2.238,92	USD
		LCP-190000	CAP-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	     11.834,24	USD
		LCP-190000	CAP-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	      3.528,40	USD
		LCP-190000	CAP-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	          1,00	USD
		LCP-190000	CAP-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	        168,79	USD
		LCP-190000	CAP-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	         98,60	USD
		LCP-190000	CAP-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	      1.654,06	USD
		LCP-190000	CAP-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	        581,90	USD
		LCP-190000	CAP-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	     18.500,00	USD
		LCP-190000	CAP-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	      8.000,00	USD
		LCP-190000	CAP-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	      2.264,00	USD

	*	Ejercicio 2020				     52.047,16	USD

		LCP-190000-01	CAP- voltage variation on supply	AC02285	29.01.2019	     29.700,00	USD
		LCP-190000-01	CAP- voltage variation on supply	AA78712	20.11.2019	-2.431,00	USD
		LCP-190000-01	CAP- voltage variation on supply	AA18126	10.07.2020	-100,32	USD

	*	Ejercicio 2019				     27.168,68	USD

		LCP-190000-01	CAP- voltage variation on supply	AA18126	10.07.2020	        100,32	USD

	*	Ejercicio 2020				        100,32	USD

		LCP-190000-02	CAP-Conic Stitcher Replication on TBMs16	AC02285	06.02.2019	     49.700,00	USD
		LCP-190000-02	CAP-Conic Stitcher Replication on TBMs16	AA78712	20.11.2019	-446,00	USD
		LCP-190000-02	CAP-Conic Stitcher Replication on TBMs16	AA18126	10.07.2020	-100,55	USD

	*	Ejercicio 2019				     49.153,45	USD

		LCP-190000-02	CAP-Conic Stitcher Replication on TBMs16	AA18126	10.07.2020	        100,55	USD

	*	Ejercicio 2020				        100,55	USD

		LCP-190000-03	CAP-Sellado Zona Dynamic Air	AC02285	07.03.2019	     48.000,00	USD
		LCP-190000-03	CAP-Sellado Zona Dynamic Air	AA18126	10.07.2020	-2.025,78	USD

	*	Ejercicio 2019				     45.974,22	USD

		LCP-190000-03	CAP-Sellado Zona Dynamic Air	AA18126	10.07.2020	      2.025,78	USD

	*	Ejercicio 2020				      2.025,78	USD

		LCP-190000-04	CAP-Instalacion de sellos Andenes Bodega	AC02285	07.03.2019	     40.000,00	USD
		LCP-190000-04	CAP-Instalacion de sellos Andenes Bodega	AA78712	10.10.2019	-8.000,00	USD
		LCP-190000-04	CAP-Instalacion de sellos Andenes Bodega	AA78712	20.11.2019	-1.970,00	USD
		LCP-190000-04	CAP-Instalacion de sellos Andenes Bodega	AA18126	10.07.2020	-100,60	USD

	*	Ejercicio 2019				     29.929,40	USD

		LCP-190000-04	CAP-Instalacion de sellos Andenes Bodega	AA18126	10.07.2020	        100,60	USD

	*	Ejercicio 2020				        100,60	USD

		LCP-190000-05	CAP Instalación Líneas de Vida Fase # 3	AC02285	25.04.2019	     50.000,00	USD
		LCP-190000-05	CAP Instalación Líneas de Vida Fase # 3	AA78712	16.10.2019	-500,00	USD
		LCP-190000-05	CAP Instalación Líneas de Vida Fase # 3	AA78712	16.10.2019	        500,00	USD
		LCP-190000-05	CAP Instalación Líneas de Vida Fase # 3	AA78712	22.10.2019	-300,00	USD
		LCP-190000-05	CAP Instalación Líneas de Vida Fase # 3	AA78712	20.11.2019	-6.400,00	USD
		LCP-190000-05	CAP Instalación Líneas de Vida Fase # 3	AA18126	10.07.2020	-2.238,92	USD

	*	Ejercicio 2019				     41.061,08	USD

		LCP-190000-05	CAP Instalación Líneas de Vida Fase # 3	AA18126	10.07.2020	      2.238,92	USD

	*	Ejercicio 2020				      2.238,92	USD

		LCP-190000-06	CAP Emergency Light Fase #3	AC02285	25.04.2019	     50.000,00	USD
		LCP-190000-06	CAP Emergency Light Fase #3	AA78712	20.11.2019	-2.074,00	USD
		LCP-190000-06	CAP Emergency Light Fase #3	AA18126	10.07.2020	-11.834,24	USD

	*	Ejercicio 2019				     36.091,76	USD

		LCP-190000-06	CAP Emergency Light Fase #3	AA18126	10.07.2020	     11.834,24	USD

	*	Ejercicio 2020				     11.834,24	USD

		LCP-190000-08	CAP-Sistema de Audio Evacuacion Fase 2	AC02285	28.05.2019	     25.000,00	USD
		LCP-190000-08	CAP-Sistema de Audio Evacuacion Fase 2	AA78712	05.12.2019	-2.300,00	USD
		LCP-190000-08	CAP-Sistema de Audio Evacuacion Fase 2	AA18126	10.07.2020	-3.528,40	USD

	*	Ejercicio 2019				     19.171,60	USD

		LCP-190000-08	CAP-Sistema de Audio Evacuacion Fase 2	AA18126	10.07.2020	      3.528,40	USD

	*	Ejercicio 2020				      3.528,40	USD

		LCP-190000-09	CAP-Scale and Reader Installation in FF	AC02285	07.06.2019	      7.000,00	USD
		LCP-190000-09	CAP-Scale and Reader Installation in FF	AC02285	20.06.2019	     43.000,00	USD
		LCP-190000-09	CAP-Scale and Reader Installation in FF	AA78712	20.11.2019	-22.500,00	USD
		LCP-190000-09	CAP-Scale and Reader Installation in FF	AA78712	05.12.2019	-27.500,00	USD
		LCP-190000-09	CAP-Scale and Reader Installation in FF	AA78712	06.01.2020	          1,00	USD
		LCP-190000-09	CAP-Scale and Reader Installation in FF	AA18126	10.07.2020	-1,00	USD

	*	Ejercicio 2019				          0,00	USD

		LCP-190000-09	CAP-Scale and Reader Installation in FF	AA18126	10.07.2020	          1,00	USD

	*	Ejercicio 2020				          1,00	USD

		LCP-190000-12	CAP-Upgrade PC operador  FVM	AC02285	01.07.2019	     50.000,00	USD
		LCP-190000-12	CAP-Upgrade PC operador  FVM	AA78712	20.11.2019	-2.257,00	USD
		LCP-190000-12	CAP-Upgrade PC operador  FVM	AA18126	10.07.2020	-168,79	USD

	*	Ejercicio 2019				     47.574,21	USD

		LCP-190000-12	CAP-Upgrade PC operador  FVM	AA18126	10.07.2020	        168,79	USD

	*	Ejercicio 2020				        168,79	USD

		LCP-190000-17	CAP-Cassettes Cart Mover Gum Calander	AA78712	09.09.2019	     17.000,00	USD
		LCP-190000-17	CAP-Cassettes Cart Mover Gum Calander	AA78712	20.11.2019	-6.473,00	USD
		LCP-190000-17	CAP-Cassettes Cart Mover Gum Calander	AA18126	10.07.2020	-98,60	USD

	*	Ejercicio 2019				     10.428,40	USD

		LCP-190000-17	CAP-Cassettes Cart Mover Gum Calander	AA18126	10.07.2020	         98,60	USD

	*	Ejercicio 2020				         98,60	USD

		LCP-190000-18	CAP- Upgrade Cognex Sistem Zone 12 (F2)	AA78712	23.09.2019	     40.600,00	USD
		LCP-190000-18	CAP- Upgrade Cognex Sistem Zone 12 (F2)	AA78712	23.09.2019	-600,00	USD
		LCP-190000-18	CAP- Upgrade Cognex Sistem Zone 12 (F2)	AA18126	10.07.2020	-1.654,06	USD

	*	Ejercicio 2019				     38.345,94	USD

		LCP-190000-18	CAP- Upgrade Cognex Sistem Zone 12 (F2)	AA18126	10.07.2020	      1.654,06	USD

	*	Ejercicio 2020				      1.654,06	USD

		LCP-190000-19	CAP-Thermographic camera	AA78712	10.10.2019	      8.000,00	USD
		LCP-190000-19	CAP-Thermographic camera	AA78712	10.10.2019	-8.000,00	USD
		LCP-190000-19	CAP-Thermographic camera	AA78712	10.10.2019	      8.000,00	USD
		LCP-190000-19	CAP-Thermographic camera	AA78712	16.10.2019	        500,00	USD
		LCP-190000-19	CAP-Thermographic camera	AA78712	16.10.2019	-500,00	USD
		LCP-190000-19	CAP-Thermographic camera	AA78712	22.10.2019	        300,00	USD
		LCP-190000-19	CAP-Thermographic camera	AA78712	02.12.2019	      3.600,00	USD
		LCP-190000-19	CAP-Thermographic camera	AA18126	10.07.2020	-581,90	USD

	*	Ejercicio 2019				     11.318,10	USD

		LCP-190000-19	CAP-Thermographic camera	AA18126	10.07.2020	        581,90	USD

	*	Ejercicio 2020				        581,90	USD

		LCP-190000-20	CAP-Upgrade PC on Measurex System Gum Ca	AA78712	20.11.2019	     18.500,00	USD
		LCP-190000-20	CAP-Upgrade PC on Measurex System Gum Ca	AA18126	10.07.2020	-18.500,00	USD

	*	Ejercicio 2019				          0,00	USD

		LCP-190000-20	CAP-Upgrade PC on Measurex System Gum Ca	AA18126	10.07.2020	     18.500,00	USD

	*	Ejercicio 2020				     18.500,00	USD

		LCP-190000-21	CAP-Upgrade Application on ASRS System	AA78712	03.12.2019	     22.500,00	USD
		LCP-190000-21	CAP-Upgrade Application on ASRS System	AA78712	05.12.2019	-14.500,00	USD
		LCP-190000-21	CAP-Upgrade Application on ASRS System	AA18126	10.07.2020	-8.000,00	USD

	*	Ejercicio 2019				          0,00	USD

		LCP-190000-21	CAP-Upgrade Application on ASRS System	AA18126	10.07.2020	      8.000,00	USD

	*	Ejercicio 2020				      8.000,00	USD

		LCP-190000-22	 CAP-Improve power distribution panel	AA78712	03.12.2019	     19.000,00	USD

	*	Ejercicio 2019				     19.000,00	USD

		LCP-190000-23	CAP-Manual Bridge Cranes Mixer 5	AA78712	05.12.2019	     50.000,00	USD
		LCP-190000-23	CAP-Manual Bridge Cranes Mixer 5	AA18126	10.07.2020	-2.264,00	USD

	*	Ejercicio 2019				     47.736,00	USD

		LCP-190000-23	CAP-Manual Bridge Cranes Mixer 5	AA18126	10.07.2020	      2.264,00	USD

	*	Ejercicio 2020				      2.264,00	USD

		LCP-190000-EX	EX-Chile 2019 Annual Misc Capital	AC02285	29.01.2019	     50.000,00	USD
		LCP-190000-EX	EX-Chile 2019 Annual Misc Capital	AC02285	28.05.2019	     50.000,00	USD
		LCP-190000-EX	EX-Chile 2019 Annual Misc Capital	AC02285	28.05.2019	     25.000,00	USD
		LCP-190000-EX	EX-Chile 2019 Annual Misc Capital	AC02285	07.06.2019	     25.000,00	USD
		LCP-190000-EX	EX-Chile 2019 Annual Misc Capital	AC02285	07.06.2019	     10.000,00	USD
		LCP-190000-EX	EX-Chile 2019 Annual Misc Capital	AC02285	07.06.2019	    140.000,00	USD
		LCP-190000-EX	EX-Chile 2019 Annual Misc Capital	AA78712	09.09.2019	    150.000,00	USD
		LCP-190000-EX	EX-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	-120.206,00	USD
		LCP-190000-EX	EX-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	-386,72	USD
		LCP-190000-EX	EX-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	-2.394,87	USD
		LCP-190000-EX	EX-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	-778,39	USD
		LCP-190000-EX	EX-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	-2.915,41	USD
		LCP-190000-EX	EX-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	-5.828,40	USD
		LCP-190000-EX	EX-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	-20.000,00	USD
		LCP-190000-EX	EX-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	-3.182,87	USD
		LCP-190000-EX	EX-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	-2.032,84	USD
		LCP-190000-EX	EX-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	-168,35	USD
		LCP-190000-EX	EX-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	-2.002,96	USD
		LCP-190000-EX	EX-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	-2.509,10	USD
		LCP-190000-EX	EX-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	-4.909,60	USD
		LCP-190000-EX	EX-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	-40.000,00	USD

	*	Ejercicio 2019				    242.684,49	USD

		LCP-190000-EX	EX-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	    120.206,00	USD
		LCP-190000-EX	EX-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	        386,72	USD
		LCP-190000-EX	EX-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	      2.394,87	USD
		LCP-190000-EX	EX-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	        778,39	USD
		LCP-190000-EX	EX-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	      2.915,41	USD
		LCP-190000-EX	EX-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	      5.828,40	USD
		LCP-190000-EX	EX-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	     20.000,00	USD
		LCP-190000-EX	EX-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	      3.182,87	USD
		LCP-190000-EX	EX-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	      2.032,84	USD
		LCP-190000-EX	EX-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	        168,35	USD
		LCP-190000-EX	EX-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	      2.002,96	USD
		LCP-190000-EX	EX-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	      2.509,10	USD
		LCP-190000-EX	EX-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	      4.909,60	USD
		LCP-190000-EX	EX-Chile 2019 Annual Misc Capital	AA18126	10.07.2020	     40.000,00	USD

	*	Ejercicio 2020				    207.315,51	USD

		LCP-190000-EX-01	EX-voltage variation on supply	AC02285	29.01.2019	      5.500,00	USD
		LCP-190000-EX-01	EX-voltage variation on supply	AA18126	10.07.2020	-386,72	USD

	*	Ejercicio 2019				      5.113,28	USD

		LCP-190000-EX-01	EX-voltage variation on supply	AA18126	10.07.2020	        386,72	USD

	*	Ejercicio 2020				        386,72	USD

		LCP-190000-EX-02	EX-Conic Stitcher Replication on TBMs16	AC02285	06.02.2019	      9.500,00	USD
		LCP-190000-EX-02	EX-Conic Stitcher Replication on TBMs16	AC02285	28.03.2019	     20.000,00	USD
		LCP-190000-EX-02	EX-Conic Stitcher Replication on TBMs16	AA18126	10.07.2020	-2.394,87	USD

	*	Ejercicio 2019				     27.105,13	USD

		LCP-190000-EX-02	EX-Conic Stitcher Replication on TBMs16	AA18126	10.07.2020	      2.394,87	USD

	*	Ejercicio 2020				      2.394,87	USD

		LCP-190000-EX-04	EX-Instalacion de sellos Andenes Bodega	AC02285	07.03.2019	      7.000,00	USD
		LCP-190000-EX-04	EX-Instalacion de sellos Andenes Bodega	AA18126	10.07.2020	-778,39	USD

	*	Ejercicio 2019				      6.221,61	USD

		LCP-190000-EX-04	EX-Instalacion de sellos Andenes Bodega	AA18126	10.07.2020	        778,39	USD

	*	Ejercicio 2020				        778,39	USD

		LCP-190000-EX-07	EX- Mejora Cruces Peligrosos	AC02285	28.05.2019	     50.000,00	USD
		LCP-190000-EX-07	EX- Mejora Cruces Peligrosos	AA18126	10.07.2020	-2.915,41	USD

	*	Ejercicio 2019				     47.084,59	USD

		LCP-190000-EX-07	EX- Mejora Cruces Peligrosos	AA18126	10.07.2020	      2.915,41	USD

	*	Ejercicio 2020				      2.915,41	USD

		LCP-190000-EX-08	EX-Sistema de Audio Evacuacion Fase 2	AC02285	28.05.2019	     25.000,00	USD
		LCP-190000-EX-08	EX-Sistema de Audio Evacuacion Fase 2	AA18126	10.07.2020	-5.828,40	USD

	*	Ejercicio 2019				     19.171,60	USD

		LCP-190000-EX-08	EX-Sistema de Audio Evacuacion Fase 2	AA18126	10.07.2020	      5.828,40	USD

	*	Ejercicio 2020				      5.828,40	USD

		LCP-190000-EX-09	EX-Scale and Reader Installation in FF	AC02285	07.06.2019	     20.000,00	USD
		LCP-190000-EX-09	EX-Scale and Reader Installation in FF	AA18126	10.07.2020	-20.000,00	USD

	*	Ejercicio 2019				          0,00	USD

		LCP-190000-EX-09	EX-Scale and Reader Installation in FF	AA18126	10.07.2020	     20.000,00	USD

	*	Ejercicio 2020				     20.000,00	USD

		LCP-190000-EX-10	EX-Instalacion CCTV Bodega & Talleres	AC02285	07.06.2019	     20.000,00	USD
		LCP-190000-EX-10	EX-Instalacion CCTV Bodega & Talleres	AA18126	10.07.2020	-3.182,87	USD

	*	Ejercicio 2019				     16.817,13	USD

		LCP-190000-EX-10	EX-Instalacion CCTV Bodega & Talleres	AA18126	10.07.2020	      3.182,87	USD

	*	Ejercicio 2020				      3.182,87	USD

		LCP-190000-EX-11	EX-Conjunto Sensor Termino Cintas FVM	AC02285	07.06.2019	     25.000,00	USD
		LCP-190000-EX-11	EX-Conjunto Sensor Termino Cintas FVM	AA78712	29.10.2019	      2.497,00	USD
		LCP-190000-EX-11	EX-Conjunto Sensor Termino Cintas FVM	AA18126	10.07.2020	-2.032,84	USD

	*	Ejercicio 2019				     25.464,16	USD

		LCP-190000-EX-11	EX-Conjunto Sensor Termino Cintas FVM	AA18126	10.07.2020	      2.032,84	USD

	*	Ejercicio 2020				      2.032,84	USD

		LCP-190000-EX-12	EX-Upgrade PC operador  FVM	AC02285	01.07.2019	     15.000,00	USD
		LCP-190000-EX-12	EX-Upgrade PC operador  FVM	AA18126	10.07.2020	-168,35	USD

	*	Ejercicio 2019				     14.831,65	USD

		LCP-190000-EX-12	EX-Upgrade PC operador  FVM	AA18126	10.07.2020	        168,35	USD

	*	Ejercicio 2020				        168,35	USD

		LCP-190000-EX-13	EX-Recambio Spool de Breaker	AA18126	30.07.2019	     30.000,00	USD
		LCP-190000-EX-13	EX-Recambio Spool de Breaker	AA18126	10.07.2020	-2.002,96	USD

	*	Ejercicio 2019				     27.997,04	USD

		LCP-190000-EX-13	EX-Recambio Spool de Breaker	AA18126	10.07.2020	      2.002,96	USD

	*	Ejercicio 2020				      2.002,96	USD

		LCP-190000-EX-14	EX-Modificación Carros Apexer	AA78712	12.08.2019	     33.000,00	USD
		LCP-190000-EX-14	EX-Modificación Carros Apexer	AA78712	03.10.2019	      3.297,00	USD
		LCP-190000-EX-14	EX-Modificación Carros Apexer	AA18126	10.07.2020	-2.509,10	USD

	*	Ejercicio 2019				     33.787,90	USD

		LCP-190000-EX-14	EX-Modificación Carros Apexer	AA18126	10.07.2020	      2.509,10	USD

	*	Ejercicio 2020				      2.509,10	USD

		LCP-190000-EX-15	EX-Reubicación Balizas Estado Prensas HF	AA78712	26.08.2019	     24.000,00	USD
		LCP-190000-EX-15	EX-Reubicación Balizas Estado Prensas HF	AA18126	10.07.2020	-4.909,60	USD

	*	Ejercicio 2019				     19.090,40	USD

		LCP-190000-EX-15	EX-Reubicación Balizas Estado Prensas HF	AA18126	10.07.2020	      4.909,60	USD

	*	Ejercicio 2020				      4.909,60	USD

		LCP-190000-EX-16	EX- Improve Roof and Floor Conditions	AA78712	09.09.2019	     40.000,00	USD
		LCP-190000-EX-16	EX- Improve Roof and Floor Conditions	AA18126	10.07.2020	-40.000,00	USD

	*	Ejercicio 2019				          0,00	USD

		LCP-190000-EX-16	EX- Improve Roof and Floor Conditions	AA18126	10.07.2020	     40.000,00	USD

	*	Ejercicio 2020				     40.000,00	USD

		LCP-190003	CAP-Look & Feel POS - Ecuador	AA18126	10.07.2020	-7.169,50	USD
		LCP-190003	CAP-Look & Feel POS - Ecuador	AA18126	03.01.2019	     84.000,00	USD
		LCP-190003	CAP-Look & Feel POS - Ecuador	AA18126	06.11.2019	     14.000,00	USD

	*	Ejercicio 2019				     90.830,50	USD

		LCP-190003	CAP-Look & Feel POS - Ecuador	AA18126	10.07.2020	      7.169,50	USD

	*	Ejercicio 2020				      7.169,50	USD

		LCP-190015	CAP-Look & Feel POS - BOLIVIA	AA18126	10.07.2020	-24.901,80	USD
		LCP-190015	CAP-Look & Feel POS - BOLIVIA	AA18126	07.03.2019	     50.000,00	USD

	*	Ejercicio 2019				     25.098,20	USD

		LCP-190015	CAP-Look & Feel POS - BOLIVIA	AA18126	10.07.2020	     24.901,80	USD

	*	Ejercicio 2020				     24.901,80	USD

		LCP-190026	CAP-Equipments to Fabricate Wrangler D	AA18126	10.07.2020	-179.032,06	USD
		LCP-190026	CAP-Equipments to Fabricate Wrangler D	AA73225	14.03.2019	    375.000,00	USD

	*	Ejercicio 2019				    195.967,94	USD

		LCP-190026	CAP-Equipments to Fabricate Wrangler D	AA18126	10.07.2020	    179.032,06	USD

	*	Ejercicio 2020				    179.032,06	USD

		LCP-190026-EX	EX-Equipments to Fabricate Wrangler D	AC02285	18.03.2019	    332.500,00	USD
		LCP-190026-EX	EX-Equipments to Fabricate Wrangler D	AA18126	10.07.2020	-63.285,12	USD

	*	Ejercicio 2019				    269.214,88	USD

		LCP-190026-EX	EX-Equipments to Fabricate Wrangler D	AA18126	10.07.2020	     63.285,12	USD

	*	Ejercicio 2020				     63.285,12	USD

		LCP-190028	CAP-TSR, Rolls and Bearing Mixer #3	AA18126	10.07.2020	-187.330,64	USD
		LCP-190028	CAP-TSR, Rolls and Bearing Mixer #3	AA73225	07.03.2019	    420.000,00	USD

	*	Ejercicio 2019				    232.669,36	USD

		LCP-190028	CAP-TSR, Rolls and Bearing Mixer #3	AA18126	10.07.2020	    187.330,64	USD

	*	Ejercicio 2020				    187.330,64	USD

		LCP-190028-EX	EX-TSR, Rolls and Bearing Mixer #3	AC02285	08.03.2019	     30.000,00	USD
		LCP-190028-EX	EX-TSR, Rolls and Bearing Mixer #3	AA18126	10.07.2020	-30.000,00	USD

	*	Ejercicio 2019				          0,00	USD

		LCP-190028-EX	EX-TSR, Rolls and Bearing Mixer #3	AA18126	10.07.2020	     30.000,00	USD

	*	Ejercicio 2020				     30.000,00	USD

		LCP-190029	CAP-Mixer #2, Body Replacement	AA18126	10.07.2020	-151.120,84	USD
		LCP-190029	CAP-Mixer #2, Body Replacement	AA73225	18.03.2019	  1.660.000,00	USD

	*	Ejercicio 2019				  1.508.879,16	USD

		LCP-190029	CAP-Mixer #2, Body Replacement	AA18126	10.07.2020	    151.120,84	USD

	*	Ejercicio 2020				    151.120,84	USD

		LCP-190029-EX	EX-Mixer #2, Body Replacement	AC02285	25.03.2019	    140.000,00	USD
		LCP-190029-EX	EX-Mixer #2, Body Replacement	AA18126	10.07.2020	-72.013,94	USD

	*	Ejercicio 2019				     67.986,06	USD

		LCP-190029-EX	EX-Mixer #2, Body Replacement	AA18126	10.07.2020	     72.013,94	USD

	*	Ejercicio 2020				     72.013,94	USD

		LCP-190039-EX	EX-Ruedas Ergonomicas Cassettes PLYfase1	AC02285	07.03.2019	     88.000,00	USD

	*	Ejercicio 2019				     88.000,00	USD

		LCP-190044-EX	EX-OverHaul GearBox, Z Calander	AC02285	20.02.2019	     86.924,00	USD
		LCP-190044-EX	EX-OverHaul GearBox, Z Calander	AC02285	01.04.2019	      8.000,00	USD
		LCP-190044-EX	EX-OverHaul GearBox, Z Calander	AC02285	30.04.2019	     11.000,00	USD

	*	Ejercicio 2019				    105.924,00	USD

		LCP-190048	CAP-Look & Feel POS - CHILE	AA18126	10.07.2020	-30.442,61	USD
		LCP-190048	CAP-Look & Feel POS - CHILE	AA18126	07.03.2019	    330.000,00	USD
		LCP-190048	CAP-Look & Feel POS - CHILE	AA18126	11.10.2019	     25.000,00	USD
		LCP-190048	CAP-Look & Feel POS - CHILE	AA18126	11.10.2019	     25.000,00	USD
		LCP-190048	CAP-Look & Feel POS - CHILE	AA18126	11.10.2019	-25.000,00	USD
		LCP-190048	CAP-Look & Feel POS - CHILE	AA18126	05.11.2019	     85.000,00	USD

	*	Ejercicio 2019				    409.557,39	USD

		LCP-190048	CAP-Look & Feel POS - CHILE	AA18126	10.07.2020	     30.442,61	USD

	*	Ejercicio 2020				     30.442,61	USD

		LCP-190050	CAP-Upgrade Control Press Delivery Robot	AA18126	10.07.2020	-5.966,40	USD
		LCP-190050	CAP-Upgrade Control Press Delivery Robot	AA73225	02.04.2019	    107.700,00	USD

	*	Ejercicio 2019				    101.733,60	USD

		LCP-190050	CAP-Upgrade Control Press Delivery Robot	AA18126	10.07.2020	      5.966,40	USD

	*	Ejercicio 2020				      5.966,40	USD

		LCP-190050-EX	EX-Upgrade Control Press Delivery Robots	AC02285	03.04.2019	     20.500,00	USD
		LCP-190050-EX	EX-Upgrade Control Press Delivery Robots	AA18126	10.07.2020	-2.351,95	USD

	*	Ejercicio 2019				     18.148,05	USD

		LCP-190050-EX	EX-Upgrade Control Press Delivery Robots	AA18126	10.07.2020	      2.351,95	USD

	*	Ejercicio 2020				      2.351,95	USD

		LCP-190051	CAP-Splice Monitor Tread on PLT4 / Phase	AA18126	10.07.2020	-5.344,15	USD
		LCP-190051	CAP-Splice Monitor Tread on PLT4 / Phase	AA73225	15.05.2019	     90.700,00	USD

	*	Ejercicio 2019				     85.355,85	USD

		LCP-190051	CAP-Splice Monitor Tread on PLT4 / Phase	AA18126	10.07.2020	      5.344,15	USD

	*	Ejercicio 2020				      5.344,15	USD

		LCP-190051-EX	EX-Splice Monitor Tread on PLT4 / Phase	AC02285	20.05.2019	     20.500,00	USD
		LCP-190051-EX	EX-Splice Monitor Tread on PLT4 / Phase	AA18126	10.07.2020	-10.726,68	USD

	*	Ejercicio 2019				      9.773,32	USD

		LCP-190051-EX	EX-Splice Monitor Tread on PLT4 / Phase	AA18126	10.07.2020	     10.726,68	USD

	*	Ejercicio 2020				     10.726,68	USD

		LCP-190053	CAP-Change on Platform in final warehous	AA18126	10.07.2020	-10.995,60	USD
		LCP-190053	CAP-Change on Platform in final warehous	AA73225	15.05.2019	     93.000,00	USD
		LCP-190053	CAP-Change on Platform in final warehous	AA73225	17.12.2019	      9.000,00	USD

	*	Ejercicio 2019				     91.004,40	USD

		LCP-190053	CAP-Change on Platform in final warehous	AA18126	10.07.2020	     10.995,60	USD

	*	Ejercicio 2020				     10.995,60	USD

		LCP-190053-EX	EX-Change on Platform in final warehouse	AC02285	20.05.2019	     10.000,00	USD
		LCP-190053-EX	EX-Change on Platform in final warehouse	AA18126	10.07.2020	-871,89	USD

	*	Ejercicio 2019				      9.128,11	USD

		LCP-190053-EX	EX-Change on Platform in final warehouse	AA18126	10.07.2020	        871,89	USD

	*	Ejercicio 2020				        871,89	USD

		LCP-190054	CAP-Warm Room for Green Tires Supermarke	AA18126	10.07.2020	-63.016,96	USD
		LCP-190054	CAP-Warm Room for Green Tires Supermarke	AA73225	23.04.2019	     90.000,00	USD

	*	Ejercicio 2019				     26.983,04	USD

		LCP-190054	CAP-Warm Room for Green Tires Supermarke	AA18126	10.07.2020	     63.016,96	USD

	*	Ejercicio 2020				     63.016,96	USD

		LCP-190055	CAP-Upgrade RTS, CFE#1	AA18126	10.07.2020	-8.327,90	USD
		LCP-190055	CAP-Upgrade RTS, CFE#1	AA73225	18.04.2019	    120.000,00	USD

	*	Ejercicio 2019				    111.672,10	USD

		LCP-190055	CAP-Upgrade RTS, CFE#1	AA18126	10.07.2020	      8.327,90	USD

	*	Ejercicio 2020				      8.327,90	USD

		LCP-190055-EX	EX-Upgrade RTS, CFE#1	AC02285	22.04.2019	     10.000,00	USD
